YEARID,MONTHID,ENTERPRISEID,ENTEPRISENAME,PORTFOLIOID,PORTFOLIONAME,NETINCOME
2020,1,2,Entity_0002,1.0,L2-ALL,-23099.79
2020,2,2,Entity_0002,1.0,L2-ALL,-19495.48
2020,3,2,Entity_0002,1.0,L2-ALL,-18099.39
2020,4,2,Entity_0002,1.0,L2-ALL,-18817.76
2020,5,2,Entity_0002,1.0,L2-ALL,-18472.17
2020,6,2,Entity_0002,1.0,L2-ALL,-18584.97
2020,7,2,Entity_0002,1.0,L2-ALL,-19699.27
2020,8,2,Entity_0002,1.0,L2-ALL,-19876.73
2020,9,2,Entity_0002,1.0,L2-ALL,-19799.52
2020,10,2,Entity_0002,1.0,L2-ALL,-19801.65
2020,11,2,Entity_0002,1.0,L2-ALL,-19512.4
2020,12,2,Entity_0002,1.0,L2-ALL,43010.81
2020,1,3,Entity_0003,1.0,L2-ALL,-21241.12
2020,2,3,Entity_0003,1.0,L2-ALL,-21262.47
2020,3,3,Entity_0003,1.0,L2-ALL,-21283.89
2020,4,3,Entity_0003,1.0,L2-ALL,-20760.38
2020,5,3,Entity_0003,1.0,L2-ALL,2321.08
2020,6,3,Entity_0003,1.0,L2-ALL,-18435.6
2020,7,3,Entity_0003,1.0,L2-ALL,-18752.05
2020,8,3,Entity_0003,1.0,L2-ALL,-18466.99
2020,9,3,Entity_0003,1.0,L2-ALL,-18483.14
2020,10,3,Entity_0003,1.0,L2-ALL,-12388.79
2020,11,3,Entity_0003,1.0,L2-ALL,-15005.12
2020,12,3,Entity_0003,1.0,L2-ALL,120303.91
2020,1,7,Entity_0007,1.0,L2-ALL,-17866.99
2020,2,7,Entity_0007,1.0,L2-ALL,-18291.7
2020,3,7,Entity_0007,1.0,L2-ALL,-18931.95
2020,4,7,Entity_0007,1.0,L2-ALL,-18343.24
2020,5,7,Entity_0007,1.0,L2-ALL,-18674.25
2020,6,7,Entity_0007,1.0,L2-ALL,-18394.14
2020,7,7,Entity_0007,1.0,L2-ALL,-18485.91
2020,8,7,Entity_0007,1.0,L2-ALL,-18445.36
2020,9,7,Entity_0007,1.0,L2-ALL,-18470.62
2020,10,7,Entity_0007,1.0,L2-ALL,-18797.9
2020,11,7,Entity_0007,1.0,L2-ALL,-17272.29
2020,12,7,Entity_0007,1.0,L2-ALL,136719.39
2020,1,11,Entity_0011,1.0,L2-ALL,-12892.32
2020,2,11,Entity_0011,1.0,L2-ALL,-12902.02
2020,3,11,Entity_0011,1.0,L2-ALL,-10575.46
2020,4,11,Entity_0011,1.0,L2-ALL,-12348.96
2020,5,11,Entity_0011,1.0,L2-ALL,-12560.48
2020,6,11,Entity_0011,1.0,L2-ALL,-12370.48
2020,7,11,Entity_0011,1.0,L2-ALL,-9422.62
2020,8,11,Entity_0011,1.0,L2-ALL,-12392.12
2020,9,11,Entity_0011,1.0,L2-ALL,-11153.05
2020,10,11,Entity_0011,1.0,L2-ALL,-12612.64
2020,11,11,Entity_0011,1.0,L2-ALL,-12424.51
2020,12,11,Entity_0011,1.0,L2-ALL,82973.53
2020,1,19,Entity_0019,1.0,L2-ALL,-11447.23
2020,2,19,Entity_0019,1.0,L2-ALL,-12030.97
2020,3,19,Entity_0019,1.0,L2-ALL,-12573.91
2020,4,19,Entity_0019,1.0,L2-ALL,-12212.57
2020,5,19,Entity_0019,1.0,L2-ALL,-14196.44
2020,6,19,Entity_0019,1.0,L2-ALL,-15103.07
2020,7,19,Entity_0019,1.0,L2-ALL,-13393.71
2020,8,19,Entity_0019,1.0,L2-ALL,-13187.12
2020,9,19,Entity_0019,1.0,L2-ALL,-13673.57
2020,10,19,Entity_0019,1.0,L2-ALL,-13923.57
2020,11,19,Entity_0019,1.0,L2-ALL,-13700.03
2020,12,19,Entity_0019,1.0,L2-ALL,139818.82
2020,1,20,Entity_0020,1.0,L2-ALL,-8526.88
2020,2,20,Entity_0020,1.0,L2-ALL,-8537.33
2020,3,20,Entity_0020,1.0,L2-ALL,-9021.18
2020,4,20,Entity_0020,1.0,L2-ALL,-8561.78
2020,5,20,Entity_0020,1.0,L2-ALL,-8639.83
2020,6,20,Entity_0020,1.0,L2-ALL,-8584.33
2020,7,20,Entity_0020,1.0,L2-ALL,-8592.65
2020,8,20,Entity_0020,1.0,L2-ALL,-8607.73
2020,9,20,Entity_0020,1.0,L2-ALL,-8619.58
2020,10,20,Entity_0020,1.0,L2-ALL,-8864.15
2020,11,20,Entity_0020,1.0,L2-ALL,-8642.72
2020,12,20,Entity_0020,1.0,L2-ALL,76967.13
2020,1,21,Entity_0021,1.0,L2-ALL,-15725.24
