PKRECORD,YEARID,MONTHID,PORTFOLIOID,PORTFOLIONAME,NETINCOME
2020_01_1.0,2020,1,1.0,L2-ALL,1088200.13
2020_01_3.0,2020,1,3.0,L2B,142126.75
2020_02_1.0,2020,2,1.0,L2-ALL,874377.8
2020_02_3.0,2020,2,3.0,L2B,83333.79
2020_03_1.0,2020,3,1.0,L2-ALL,850458.83
2020_03_3.0,2020,3,3.0,L2B,101494.45
2020_04_1.0,2020,4,1.0,L2-ALL,425743.73
2020_04_3.0,2020,4,3.0,L2B,65464.61
2020_05_1.0,2020,5,1.0,L2-ALL,675905.95
2020_05_3.0,2020,5,3.0,L2B,62886.88
2020_06_1.0,2020,6,1.0,L2-ALL,656140.11
2020_06_3.0,2020,6,3.0,L2B,193310.16
2020_07_1.0,2020,7,1.0,L2-ALL,889014.03
2020_07_3.0,2020,7,3.0,L2B,37322.49
2020_08_1.0,2020,8,1.0,L2-ALL,952780.74
2020_08_3.0,2020,8,3.0,L2B,86022.55
2020_09_1.0,2020,9,1.0,L2-ALL,921372.25
2020_09_3.0,2020,9,3.0,L2B,119993.04
2020_10_1.0,2020,10,1.0,L2-ALL,1191522.35
2020_10_3.0,2020,10,3.0,L2B,126723.55
2020_11_1.0,2020,11,1.0,L2-ALL,1070845.3
2020_11_3.0,2020,11,3.0,L2B,128439.65
2020_12_1.0,2020,12,1.0,L2-ALL,-22143014.44
2020_12_3.0,2020,12,3.0,L2B,-4986963.21
2021_01_1.0,2021,1,1.0,L2-ALL,1314831.2
2021_01_3.0,2021,1,3.0,L2B,140972.18
2021_02_1.0,2021,2,1.0,L2-ALL,1088099.14
2021_02_3.0,2021,2,3.0,L2B,133817.08
2021_03_1.0,2021,3,1.0,L2-ALL,1363796.75
2021_03_3.0,2021,3,3.0,L2B,141232.91
2021_04_1.0,2021,4,1.0,L2-ALL,1053307.22
2021_04_3.0,2021,4,3.0,L2B,131647.29
2021_05_1.0,2021,5,1.0,L2-ALL,709323.77
