YEARID,ENTERPRISEID,ENTEPRISENAME,PORTFOLIOID,PORTFOLIONAME,NETINCOME
2020,2,Entity_0002,1.0,L2-ALL,-172248.32
2020,3,Entity_0003,1.0,L2-ALL,-63454.56
2020,7,Entity_0007,1.0,L2-ALL,-65254.96
2020,11,Entity_0011,1.0,L2-ALL,-48681.13
2020,19,Entity_0019,1.0,L2-ALL,-5623.37
2020,20,Entity_0020,1.0,L2-ALL,-18231.03
2020,21,Entity_0021,1.0,L2-ALL,-69942.1
2020,22,Entity_0022,1.0,L2-ALL,-82239.05
2020,23,Entity_0023,1.0,L2-ALL,-52445.19
2020,24,Entity_0024,1.0,L2-ALL,121428.17
2020,25,Entity_0025,1.0,L2-ALL,-30806.69
2020,26,Entity_0026,1.0,L2-ALL,-22359.97
2020,27,Entity_0027,1.0,L2-ALL,-15413.02
2020,28,Entity_0028,1.0,L2-ALL,-1847.31
2020,29,Entity_0029,1.0,L2-ALL,-149.71
2020,32,Entity_0032,1.0,L2-ALL,2370.04
2020,34,Entity_0034,1.0,L2-ALL,-15518.76
2020,35,Entity_0035,1.0,L2-ALL,65193.07
2020,41,Entity_0041,1.0,L2-ALL,-215825.66
2020,43,Entity_0043,1.0,L2-ALL,-51710.18
2020,44,Entity_0044,1.0,L2-ALL,-50100.48
2020,46,Entity_0046,1.0,L2-ALL,-80189.17
2020,47,Entity_0047,1.0,L2-ALL,-41808.78
2020,48,Entity_0048,1.0,L2-ALL,-98648.02
2020,49,Entity_0049,1.0,L2-ALL,-19230.06
2020,51,Entity_0051,1.0,L2-ALL,-24246.7
2020,55,Entity_0055,1.0,L2-ALL,-103615.21
2020,57,Entity_0057,1.0,L2-ALL,-141230.45
2020,60,Entity_0060,1.0,L2-ALL,-128534.78
2020,63,Entity_0063,1.0,L2-ALL,-148836.17
2020,64,Entity_0064,1.0,L2-ALL,-148220.78
2020,65,Entity_0065,1.0,L2-ALL,-280457.51
2020,66,Entity_0066,1.0,L2-ALL,-292411.49
2020,88,Entity_0088,1.0,L2-ALL,-39800.76
2020,99,Entity_0099,3.0,L2B,-96889.3
2020,101,Entity_0101,3.0,L2B,-139415.72
2020,102,Entity_0102,3.0,L2B,-245750.16
2020,103,Entity_0103,3.0,L2B,-149747.15
2020,104,Entity_0104,3.0,L2B,-77389.2
2020,105,Entity_0105,1.0,L2-ALL,11053.4
2020,107,Entity_0107,1.0,L2-ALL,-85417.83
2020,108,Entity_0108,1.0,L2-ALL,-169500.02
2020,110,Entity_0110,1.0,L2-ALL,-48340.95
2020,111,Entity_0111,1.0,L2-ALL,-120492.16
2020,113,Entity_0113,1.0,L2-ALL,-113238.13
2020,115,Entity_0115,1.0,L2-ALL,-145815.58
2020,121,Entity_0121,1.0,L2-ALL,-112891.19
2020,129,Entity_0129,1.0,L2-ALL,-20132.25
2020,131,Entity_0131,1.0,L2-ALL,88744.42
2020,132,Entity_0132,1.0,L2-ALL,-12005.15
2020,139,Entity_0139,1.0,L2-ALL,-29996.45
2020,142,Entity_0142,3.0,L2B,-217702.99
2020,144,Entity_0144,1.0,L2-ALL,-140862.12
2020,145,Entity_0145,1.0,L2-ALL,-77803.61
2020,146,Entity_0146,1.0,L2-ALL,-86054.3
2020,148,Entity_0148,1.0,L2-ALL,-106161.62
2020,149,Entity_0149,1.0,L2-ALL,-20271.22
2020,153,Entity_0153,1.0,L2-ALL,-156652.96
2020,155,Entity_0155,1.0,L2-ALL,-189436.08
2020,157,Entity_0157,1.0,L2-ALL,-61677.22
2020,160,Entity_0160,1.0,L2-ALL,-93920.74
2020,164,Entity_0164,1.0,L2-ALL,-87666.7
2020,165,Entity_0165,1.0,L2-ALL,-51780.81
2020,166,Entity_0166,1.0,L2-ALL,-270968.36
2020,167,Entity_0167,1.0,L2-ALL,-219357.7
2020,169,Entity_0169,1.0,L2-ALL,-111298.6
