PROPERTYID,ENTERPRISEID,ADDRESS,STATEID,STATE,CITY,SQFT,PURCHASE_DATE,PURCHASE_PRICE,CAPRATE,PORFOLIOID,ENTITYADMINID,TYPETENANT,STATUS,PORTFOLIO
1,43.0,Property_0001,TX,Texas,San Antonio,16050.0,2014-04-25 00:00:00,2892966.0,7.450055064594606,1,6,0,5,L2-ALL
10,52.0,Property_0010,MN,Minnesota,Inver Grove Heights,13905.0,2015-06-15 00:00:00,3563000.0,6.63884367106371,1,6,0,5,L2-ALL
100,18.0,Property_0100,TX,Texas,Cleveland,10906.0,2015-09-01 00:00:00,2785000.0,7.217773788150808,1,6,0,7,L2-ALL
101,226.0,Property_0101,TX,Texas,Jacinto City,13905.0,2015-10-27 00:00:00,2651400.0,7.5,1,6,0,5,L2-ALL
102,7.0,Property_0102,MO,Missouri,Belton,10908.0,2015-11-10 00:00:00,4675000.0,7.865291764705882,1,6,0,5,L2-ALL
103,33.0,Property_0103,GA,Georgia,Perry,10125.0,2016-03-15 00:00:00,2815000.0,6.6422,1,6,0,6,L2-ALL
104,127.0,Property_0104,OK,Oklahoma,Oklahoma City,13905.0,2015-12-30 00:00:00,3615000.0,6.749654218533888,1,6,0,6,L2-ALL
105,17.0,Property_0105,AZ,Arizona,Oro Valley,14884.0,2016-09-09 00:00:00,2150000.0,0.0,1,6,0,7,L2-ALL
106,193.0,Property_0106,TX,Texas,Spring,13500.0,2016-06-09 00:00:00,1200000.0,15.833333333333332,1,6,0,5,L2-ALL
107,194.0,Property_0107,NC,North Carolina,Rocky Mount,10125.0,2016-09-16 00:00:00,3300000.0,7.665672727272728,1,6,0,6,L2-ALL
108,32.0,Property_0108,KY,Kentucky,Erlanger,15120.0,2016-12-14 00:00:00,5200000.0,7.076923076923077,1,6,0,5,L2-ALL
109,35.0,Property_0109,MD,Maryland,Baltimore,15120.0,2017-01-31 00:00:00,5440560.0,7.149999264781566,1,6,0,5,L2-ALL
11,53.0,Property_0011,TX,Texas,Houston,10908.0,2016-09-20 00:00:00,3700000.0,5.945948108108108,1,6,0,5,L2-ALL
110,34.0,Property_0110,TN,Tennessee,Memphis,13905.0,2017-03-13 00:00:00,4986000.0,7.400722021660649,1,6,0,5,L2-ALL
111,191.0,Property_0111,CT,Connecticut,Torrington,15120.0,2017-04-04 00:00:00,5737500.0,7.668845315904139,1,6,0,6,L2-ALL
112,192.0,Property_0112,OR,Oregon,Clackamas,7124.0,2017-07-03 00:00:00,1150000.0,7.929565217391304,1,6,0,5,L2-ALL
113,19.0,Property_0113,IL,Illinois,Mokena,15120.0,2014-08-15 00:00:00,3750000.0,6.72,1,6,0,5,L2-ALL
114,20.0,Property_0114,AL,Alabama,Athens,10125.0,2015-12-30 00:00:00,2770000.0,7.082274368231047,1,6,0,5,L2-ALL
115,41.0,Property_0115,PA,Pennsylvania,New Kensington,108950.0,2018-03-22 00:00:00,9700000.0,8.927872268041238,1,6,1,5,L2-ALL
116,140.0,Property_0116,SC,South Carolina,Columbia,10125.0,2018-08-27 00:00:00,2900000.0,6.8187,1,6,0,6,L2-ALL
117,134.0,Property_0117,OH,Ohio,Medina,90346.0,2018-10-04 00:00:00,15150000.0,7.870211221122114,1,6,0,6,L2-ALL
118,142.0,Property_0118,CO,Colorado,Durango,47481.0,2018-11-30 00:00:00,8367718.0,7.809997660054988,3,6,0,5,L2B
119,143.0,Property_0119,WI,Wisconsin,Greenfield,13500.0,2018-12-06 00:00:00,3085000.0,6.988654781199352,1,6,0,5,L2-ALL
